region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Псковская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 715 , 3 000 000 , 4 700 
Псковская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 7 , 369 ,, 168 000 
Псковская область,СЗФО,2021,Всего,59, 32 , 1 193 , 3 350 000 , 303 785 
Ростовская область,ЮФО,2021,Всероссийские молодeжные форумы,55, 1 , 270 , 5 382 000 , - 
Ростовская область,ЮФО,2021,Окружные молодeжные форумы,56, 1 , 150 , 4 520 000 , - 
Ростовская область,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 1 812 , 7 903 000 , - 
Ростовская область,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 67 , 8 864 , - , 1 556 118 
Ростовская область,ЮФО,2021,Всего,59, 71 , 11 096 , 17 805 000 , 1 556 118 
Рязанская область,ЦФО,2021,Всероссийские молодeжные форумы,55, - , - , 362 668 , - 
Рязанская область,ЦФО,2021,Окружные молодeжные форумы,56, 1 , 150 , 45 112 , - 
Рязанская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 1 100 , 1 576 287 , - 
Рязанская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 37 , 2 655 , 106 000 , - 
Рязанская область,ЦФО,2021,Всего,59, 44 , 3 905 , 2 090 067 , - 
Самарская область,ПФО,2021,Всероссийские молодeжные форумы,55, 1 , 6 453 , 33 802 328 , - 
Самарская область,ПФО,2021,Окружные молодeжные форумы,56, 1 , 4 618 , 33 306 159 , - 
Самарская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 2 600 , 1 790 000 , - 
Самарская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 9 , 1 810 , - , 696 540 
Самарская область,ПФО,2021,Всего,59, 12 , 15 481 , 68 898 487 , 696 540 
Санкт-Петербург,СЗФО,2021,Всероссийские молодeжные форумы,55, 3 , 7 387 , 56 850 000 , - 
Санкт-Петербург,СЗФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Санкт-Петербург,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 10 , 964 666 , 38 217 294 , - 
Санкт-Петербург,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 11 , 2 481 , 13 229 767 , - 
Санкт-Петербург,СЗФО,2021,Всего,59, 24 , 974 534 , 108 297 061 , - 
Саратовская область,ПФО,2021,Всероссийские молодeжные форумы,55, 2 , 300 , - , - 
Саратовская область,ПФО,2021,Окружные молодeжные форумы,56, 2 , 380 , - , - 
Саратовская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 784 , - , - 
Саратовская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 8 , 22 399 , - , 32 550 
Саратовская область,ПФО,2021,Всего,59, 16 , 23 863 , - , 32 550 
Республика Саха (Якутия),ДФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Республика Саха (Якутия),ДФО,2021,Окружные молодeжные форумы,56, 1 , 115 , 551 023 , - 
Республика Саха (Якутия),ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 2 021 , 2 000 000 , - 
Республика Саха (Якутия),ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 2 , 114 , - , 26 000 
Республика Саха (Якутия),ДФО,2021,Всего,59, 9 , 2 250 , 2 551 023 , 26 000 
Сахалинская область,ДФО,2021,Всероссийские молодeжные форумы,55, 3 , 627 , 54 608 755 , 12 237 852 
Сахалинская область,ДФО,2021,Окружные молодeжные форумы,56, 1 , 300 , 5 200 000 , - 
Сахалинская область,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 430 , 3 273 000 , 298 060 
Сахалинская область,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 1 , 60 , 400 000 , 662 205 
Сахалинская область,ДФО,2021,Всего,59, 8 , 1 417 , 63 481 755 , 13 198 117 
Свердловская область,УФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Свердловская область,УФО,2021,Окружные молодeжные форумы,56, 2 , 170 , 1 424 540 , - 
Свердловская область,УФО,2021,Региональные и межрегиональные молодeжные форумы,57, 15 , 20 511 , 820 300 , - 
Свердловская область,УФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 41 , 5 388 , 617 378 , 1 498 832 
Свердловская область,УФО,2021,Всего,59, 58 , 26 069 , 2 862 218 , 1 498 832 
Севастополь,ЮФО,2021,Всероссийские молодeжные форумы,55, 2 , 140 , - , - 
Севастополь,ЮФО,2021,Окружные молодeжные форумы,56, 3 , 415 , 2 050 000 , - 
Севастополь,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 420 , 982 987 , - 
Севастополь,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Севастополь,ЮФО,2021,Всего,59, 9 , 975 , 3 032 987 , - 
Смоленская область,ЦФО,2021,Всероссийские молодeжные форумы,55,, - , 129 300 , - 
Смоленская область,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Смоленская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, - , - , - , - 
Смоленская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Смоленская область,ЦФО,2021,Всего,59, - , - , 129 300 , - 
Ставропольский край,СКФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Ставропольский край,СКФО,2021,Окружные молодeжные форумы,56, 2 , 3 280 , 2 300 500 , - 
Ставропольский край,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 300 , 342 000 , 45 000 
Ставропольский край,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 23 , 3 609 , 50 000 , 915 200 
Ставропольский край,СКФО,2021,Всего,59, 26 , 7 189 , 2 692 500 , 960 200 
Тамбовская область,ЦФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Тамбовская область,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Тамбовская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 74 , 1 100 , 640 000 , 230 554 
Тамбовская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 5 , 1 855 , 20 000 , 101 300 
Тамбовская область,ЦФО,2021,Всего,59, 79 , 2 955 , 660 000 , 331 854 
Республика Татарстан,ПФО,2021,Всероссийские молодeжные форумы,55, 6 , 2 856 , 42 078 104 , 1 597 000 
Республика Татарстан,ПФО,2021,Окружные молодeжные форумы,56, 4 , 2 335 , 23 375 800 , 1 040 500 
Республика Татарстан,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 18 , 5 302 , 49 910 500 , 16 660 606 
Республика Татарстан,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 48 , 3 224 , - , 6 666 200 
Республика Татарстан,ПФО,2021,Всего,59, 76 , 13 717 , 115 364 404 , 25 964 306 
Тверская область,ЦФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Тверская область,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Тверская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 5 , 2 700 , 240 000 , - 
Тверская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 29 , 1 481 , - , 106 728 
Тверская область,ЦФО,2021,Всего,59, 34 , 4 181 , 240 000 , 106 728 
Томская область,СФО,2021,Всероссийские молодeжные форумы,55, 1 , 1 000 , 3 720 000 , 100 000 
Томская область,СФО,2021,Окружные молодeжные форумы,56,,,, 150 000 
Томская область,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 550 , 2 498 147 ,
Томская область,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 6 , 490 ,, 257 971 
Томская область,СФО,2021,Всего,59, 11 , 2 040 , 6 218 147 , 507 971 
Тульская область,ЦФО,2021,Всероссийские молодeжные форумы,55, 1 , 183 , 3 000 000 , - 
Тульская область,ЦФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Тульская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 7 , 8 515 , 13 139 952 , 70 800 
Тульская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 8 , 688 , - , 46 650 
Тульская область,ЦФО,2021,Всего,59, 16 , 9 386 , 16 139 952 , 117 450 
Республика Тыва,СФО,2021,Всероссийские молодeжные форумы,55,,,,
Республика Тыва,СФО,2021,Окружные молодeжные форумы,56, - ,,,
Республика Тыва,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 811 , 720 000 ,
Республика Тыва,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - ,,,
Республика Тыва,СФО,2021,Всего,59, 1 , 811 , 720 000 , - 
Тюменская область,УФО,2021,Всероссийские молодeжные форумы,55, 2 , 260 , 3 000 000 , - 
Тюменская область,УФО,2021,Окружные молодeжные форумы,56,,,,
Тюменская область,УФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 ,,,
Тюменская область,УФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 6 , 533 ,, 60 000 
Тюменская область,УФО,2021,Всего,59, 9 , 793 , 3 000 000 , 60 000 
Удмуртская Республика,ПФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Удмуртская Республика,ПФО,2021,Окружные молодeжные форумы,56, 2 , 462 , 2 400 000 , - 
Удмуртская Республика,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 7 , 1 463 , 2 560 789 , - 
Удмуртская Республика,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 22 , 1 536 , - , 370 038 
Удмуртская Республика,ПФО,2021,Всего,59, 31 , 3 461 , 4 960 789 , 370 038 
Ульяновская область,ПФО,2021,Всероссийские молодeжные форумы,55, 3 , 1 600 ,,
Ульяновская область,ПФО,2021,Окружные молодeжные форумы,56,,,,
Ульяновская область,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 27 , 1 768 ,,
Ульяновская область,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58,,,,
Ульяновская область,ПФО,2021,Всего,59, 30 , 3 368 , - , - 
Хабаровский край,ДФО,2021,Всероссийские молодeжные форумы,55,, - , - , - 
Хабаровский край,ДФО,2021,Окружные молодeжные форумы,56, 1 , 742 , 46 818 540 , - 
Хабаровский край,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, - , - , - , - 
Хабаровский край,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 14 , 2 763 , 2 580 460 , 1 973 010 
Хабаровский край,ДФО,2021,Всего,59, 15 , 3 505 , 49 399 000 , 1 973 010 
Республика Хакасия,СФО,2021,Всероссийские молодeжные форумы,55, - , - , - , - 
Республика Хакасия,СФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Республика Хакасия,СФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 170 , 800 352 , - 
Республика Хакасия,СФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 4 , 230 , - , 286 000 
Республика Хакасия,СФО,2021,Всего,59, 6 , 400 , 800 352 , 286 000 
Ханты-Мансийский автономный округ - Югра,УФО,2021,Всероссийские молодeжные форумы,55, 36 , 161 , - , 146 845 
Ханты-Мансийский автономный округ - Югра,УФО,2021,Окружные молодeжные форумы,56, 41 , 419 , - , 925 292 
Ханты-Мансийский автономный округ - Югра,УФО,2021,Региональные и межрегиональные молодeжные форумы,57, 19 , 379 , 1 850 000 , 60 000 
Ханты-Мансийский автономный округ - Югра,УФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 59 , 3 201 , 306 600 , 2 147 318 
Ханты-Мансийский автономный округ - Югра,УФО,2021,Всего,59, 155 , 4 160 , 2 156 600 , 3 279 455 
Челябинская область,УФО,2021,Всероссийские молодeжные форумы,55,,,,
Челябинская область,УФО,2021,Окружные молодeжные форумы,56,,,,
Челябинская область,УФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 585 , 9 895 000 , 4 000 
Челябинская область,УФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 59 , 6 337 , 1 334 158 , 1 236 070 
Челябинская область,УФО,2021,Всего,59, 63 , 6 922 , 11 229 158 , 1 240 070 
Чеченская Республика,СКФО,2021,Всероссийские молодeжные форумы,55, 3 , 196 , - , - 
Чеченская Республика,СКФО,2021,Окружные молодeжные форумы,56, 6 , 497 , - , - 
Чеченская Республика,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 495 , - , - 
Чеченская Республика,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Чеченская Республика,СКФО,2021,Всего,59, 13 , 1 188 , - , - 
Чувашская Республика,ПФО,2021,Всероссийские молодeжные форумы,55,,, 795 000 ,
Чувашская Республика,ПФО,2021,Окружные молодeжные форумы,56,,, 67 250 ,
Чувашская Республика,ПФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 452 , 527 000 ,
Чувашская Республика,ПФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 9 , 2 163 ,, 4 734 000 
Чувашская Республика,ПФО,2021,Всего,59, 10 , 2 615 , 1 389 250 , 4 734 000 
Чукотский автономный округ,ДФО,2021,Всероссийские молодeжные форумы,55, - , - , 213 992 , - 
Чукотский автономный округ,ДФО,2021,Окружные молодeжные форумы,56, - , - , - , - 
Чукотский автономный округ,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 30 , 3 000 000 , - 
Чукотский автономный округ,ДФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Чукотский автономный округ,ДФО,2021,Всего,59, 1 , 30 , 3 213 992 , - 
Ямало-Ненецкий автономный округ,УФО,2021,Всероссийские молодeжные форумы,55, 3 , 283 , 16 713 137 , - 
Ямало-Ненецкий автономный округ,УФО,2021,Окружные молодeжные форумы,56, 1 , 2 666 , 16 502 518 ,
Ямало-Ненецкий автономный округ,УФО,2021,Региональные и межрегиональные молодeжные форумы,57, 2 , 550 , 14 906 304 ,
Ямало-Ненецкий автономный округ,УФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 14 , 2 865 ,, 17 822 778 
Ямало-Ненецкий автономный округ,УФО,2021,Всего,59, 20 , 6 364 , 48 121 959 , 17 822 778 
Ярославская область,ЦФО,2021,Всероссийские молодeжные форумы,55, 1 , 1 067 , 1 029 233 , 40 858 
Ярославская область,ЦФО,2021,Окружные молодeжные форумы,56, 1 , 300 , 3 000 000 , 6 600 
Ярославская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 5 , 1 842 , 5 762 279 , 134 063 
Ярославская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 4 , 250 , 849 300 , 103 620 
Ярославская область,ЦФО,2021,Всего,59, 11 , 3 459 , 10 640 812 , 285 141 
Республика Северная Осетия - Алания,СКФО,2021,Всероссийские молодeжные форумы,55, 1 , 230 , 2 700 000 , - 
Республика Северная Осетия - Алания,СКФО,2021,Окружные молодeжные форумы,56, 1 , 120 , 2 300 000 , - 
Республика Северная Осетия - Алания,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 6 , 305 , 1 837 500 , - 
Республика Северная Осетия - Алания,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, - , - , - , - 
Республика Северная Осетия - Алания,СКФО,2021,Всего,59, 8 , 655 , 6 837 500 , - 
Карачаево-Черкесская Республика,СКФО,2021,Всероссийские молодeжные форумы,55, 7 , 26 ,, 120 000 
Карачаево-Черкесская Республика,СКФО,2021,Окружные молодeжные форумы,56, 4 , 46 ,, 50 500 
Карачаево-Черкесская Республика,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 3 , 120 ,,
Карачаево-Черкесская Республика,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58,,,,
Карачаево-Черкесская Республика,СКФО,2021,Всего,59, 14 , 192 , - , 170 500 
