region,Округ,Год,Наименование,№ строки,projects," Численность участников форумов соответствующего уровня, чел", Объeм рег. финансирования (в том числе посредством финансирования транспортных и, Объeм мун. финансирования (в том числе посредством финансирования транспортных и
Владимирская область,ЦФО,2021,Всего,59, 5 , 285 , 118 411 , 36 800 
Волгоградская область,ЮФО,2021,Всероссийские молодeжные форумы,55, 1 , 1 000 , - , 547 720 
Волгоградская область,ЮФО,2021,Окружные молодeжные форумы,56, 1 , 300 , - , 4 300 000 
Волгоградская область,ЮФО,2021,Региональные и межрегиональные молодeжные форумы,57, - , - , - , - 
Волгоградская область,ЮФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 2 , 168 , - , 39 000 
Волгоградская область,ЮФО,2021,Всего,59, 4 , 1 468 , - , 4 886 720 
Вологодская область,СЗФО,2021,Всероссийские молодeжные форумы,55, 1 , 620 , 32 411 497 ,
Вологодская область,СЗФО,2021,Окружные молодeжные форумы,56,,, 262 013 ,
Вологодская область,СЗФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 104 , 3 746 569 ,
Вологодская область,СЗФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 7 , 190 ,, 10 000 
Вологодская область,СЗФО,2021,Всего,59, 9 , 914 , 36 420 079 , 10 000 
Воронежская область,ЦФО,2021,Всероссийские молодeжные форумы,55, 1 , 13 000 , 20 399 812 , - 
Воронежская область,ЦФО,2021,Окружные молодeжные форумы,56,,,,
Воронежская область,ЦФО,2021,Региональные и межрегиональные молодeжные форумы,57, 4 , 1 500 , 4 530 000 , - 
Воронежская область,ЦФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 15 , 4 278 , - , 468 661 
Воронежская область,ЦФО,2021,Всего,59, 20 , 18 778 , 24 929 812 , 468 661 
Республика Дагестан,СКФО,2021,Всероссийские молодeжные форумы,55, 18 , 1 170 , 16 504 000 , - 
Республика Дагестан,СКФО,2021,Окружные молодeжные форумы,56, 4 , 50 , - , - 
Республика Дагестан,СКФО,2021,Региональные и межрегиональные молодeжные форумы,57, 1 , 100 , - , - 
Республика Дагестан,СКФО,2021,Муниципальные и межмуниципальные молодeжные форумы,58, 4 , 800 , - , - 
Республика Дагестан,СКФО,2021,Всего,59, 27 , 2 120 , 16 504 000 , - 
Еврейская автономная область,ДФО,2021,Всероссийские молодeжные форумы,55, 4 , 28 ,,
Еврейская автономная область,ДФО,2021,Окружные молодeжные форумы,56, 1 , 5 ,,
Еврейская автономная область,ДФО,2021,Региональные и межрегиональные молодeжные форумы,57, 9 , 10 113 ,, 109 090 
